interview,participant,employee_id,participant_status,is_test,started_at,completed_at,consented_at,thread,turn_index,question_source,anchor_question,question_asked,question_type,answer_text,answer_options,is_skipped,is_voice,time_spent_seconds,created_at,extracted_quotes,assignment_id
The office 2,,60f847a2-4797-49bf-a029-4f51f4e0e115,completed,False,2026-06-24 21:24:10.353+00,2026-06-24 21:29:02.131+00,2026-06-24 21:24:01.303+00,4,2,ai_followup,When was the last time your manager said or did something that genuinely helped?,What did you do with that afterward?,text,"Walked back to my desk, mostly. I don't know what you're supposed to do with that. You can't exactly say ""great lesson, boss."" You just kind of absorb it and move on with your day.",,False,False,25,2026-06-24 21:28:09.976595+00,,c900ca9f-e099-44fc-8c05-96f6d6cfe9da
The office 2,,60f847a2-4797-49bf-a029-4f51f4e0e115,completed,False,2026-06-24 21:24:10.353+00,2026-06-24 21:29:02.131+00,2026-06-24 21:24:01.303+00,4,3,ai_followup,When was the last time your manager said or did something that genuinely helped?,Anything else on your mind that didn't come up?,text,"Not really. It's Friday, which helps. There's an end-of-week thing with some people from the office, so that's something to look forward to. The week ends, the branch may or may not exist in six months, and Michael's ""World's Best Boss"" mug is currently sitting in Jell-O on his desk. So, all things considered, not a bad day.",,False,False,25,2026-06-24 21:28:35.87099+00,"The week ends, the branch may or may not exist in six months... so, all things considered, not a bad day.",c900ca9f-e099-44fc-8c05-96f6d6cfe9da
The office 2,,3bdb54eb-f2a3-4aa9-8195-d9864f604454,completed,False,2026-06-24 21:24:14.296+00,2026-06-24 21:29:05.794+00,2026-06-24 21:24:05.216+00,0,0,base,How's work been this week?,How's work been this week?,mood,Not great,,False,False,17,2026-06-24 21:24:14.39299+00,,55f2591c-6df6-41da-80b2-89c09698d433
The office 2,,3bdb54eb-f2a3-4aa9-8195-d9864f604454,completed,False,2026-06-24 21:24:14.296+00,2026-06-24 21:29:05.794+00,2026-06-24 21:24:05.216+00,1,0,base,Got it. Is there anything that could make things better right now?,Got it. Is there anything that could make things better right now?,text,"It's been kind of a rough day, honestly. Michael pulled this ""prank"" where he pretended to fire me — like, I actually started to cry before he told me it was a joke. And then when I tried to mention I'd like a raise, he basically just told me to talk to HR and to ""be professional."" So. Yeah.",,False,False,16,2026-06-24 21:24:30.840542+00,I actually started to cry before he told me it was a joke,55f2591c-6df6-41da-80b2-89c09698d433
The office 2,,3bdb54eb-f2a3-4aa9-8195-d9864f604454,completed,False,2026-06-24 21:24:14.296+00,2026-06-24 21:29:05.794+00,2026-06-24 21:24:05.216+00,1,1,ai_followup,Got it. Is there anything that could make things better right now?,"How are you feeling now, sitting with all that?",text,"I mean... I'm okay. I think I'm more embarrassed than anything. Like, I cried, in front of Michael and the new temp, over something that turned out to be fake. That's hard to shake. The raise thing is whatever — I'm kind of used to that. The end of the day was better.",,False,False,30,2026-06-24 21:25:01.487104+00,,55f2591c-6df6-41da-80b2-89c09698d433
The office 2,,3bdb54eb-f2a3-4aa9-8195-d9864f604454,completed,False,2026-06-24 21:24:14.296+00,2026-06-24 21:29:05.794+00,2026-06-24 21:24:05.216+00,1,2,ai_followup,Got it. Is there anything that could make things better right now?,What made the end of the day better?,text,"I don't know, just... some people here are actually really nice. I ended up walking out with Jim from sales and we were just talking, and it sort of reset things a little. It's nice to feel like someone actually sees you, you know?",,False,False,25,2026-06-24 21:25:27.46998+00,,55f2591c-6df6-41da-80b2-89c09698d433
The office 2,,3bdb54eb-f2a3-4aa9-8195-d9864f604454,completed,False,2026-06-24 21:24:14.296+00,2026-06-24 21:29:05.794+00,2026-06-24 21:24:05.216+00,1,3,ai_followup,Got it. Is there anything that could make things better right now?,Does that kind of connection come up often here?,text,"Honestly, not that often. Most of it is just... work. But Jim's different, he's funny and he actually pays attention. Like, he noticed what flavor yogurt I was eating today. It's a small thing but it's the kind of thing that makes a long day feel a little less long.",,False,False,27,2026-06-24 21:25:54.413033+00,,55f2591c-6df6-41da-80b2-89c09698d433
The office 2,,3bdb54eb-f2a3-4aa9-8195-d9864f604454,completed,False,2026-06-24 21:24:14.296+00,2026-06-24 21:29:05.794+00,2026-06-24 21:24:05.216+00,3,1,ai_followup,Walk me through a piece of work from the last month that felt really yours.,"Shifting to the work itself, when does it feel like it actually matters?",text,"Honestly? Not that often, if I'm being real. Answering phones and sorting mail — it's fine, I do it well, but I'm not sure it matters that much to me personally. I think what matters more is the people. Like, being the first face someone sees when they walk in, and making that feel okay. That part I actually care about.",,False,False,29,2026-06-24 21:26:23.76952+00,"being the first face someone sees when they walk in, and making that feel okay. That part I actually care about.",55f2591c-6df6-41da-80b2-89c09698d433
The office 2,,3bdb54eb-f2a3-4aa9-8195-d9864f604454,completed,False,2026-06-24 21:24:14.296+00,2026-06-24 21:29:05.794+00,2026-06-24 21:24:05.216+00,3,2,ai_followup,Walk me through a piece of work from the last month that felt really yours.,"When did that feel most real, someone walking in and you actually made it okay?",text,"Today actually, a little bit. We had a new temp start — Ryan — and he came in kind of nervous. Michael immediately started doing impressions at him, which... was a lot. But before that, when Ryan first walked up to my desk, I could tell he was anxious, and I just tried to be calm and friendly. I hope that helped at least a little.",,False,False,26,2026-06-24 21:26:49.992075+00,,55f2591c-6df6-41da-80b2-89c09698d433
The office 2,,3bdb54eb-f2a3-4aa9-8195-d9864f604454,completed,False,2026-06-24 21:24:14.296+00,2026-06-24 21:29:05.794+00,2026-06-24 21:24:05.216+00,3,3,ai_followup,Walk me through a piece of work from the last month that felt really yours.,What does it take to notice something like that?,text,"I don't know, I think you just have to actually be looking. I sit at the front, I see everyone come in. After a while you get a feel for people. Ryan had that look like he was trying really hard to seem confident. It wasn't hard to notice — I think most people just weren't paying attention.",,False,False,29,2026-06-24 21:27:18.87763+00,I think most people just weren't paying attention,55f2591c-6df6-41da-80b2-89c09698d433
The office 2,,3bdb54eb-f2a3-4aa9-8195-d9864f604454,completed,False,2026-06-24 21:24:14.296+00,2026-06-24 21:29:05.794+00,2026-06-24 21:24:05.216+00,4,1,ai_followup,When was the last time your manager said or did something that genuinely helped?,"Speaking of being seen, how does Michael tend to make you feel at work?",text,"Michael means well, I think? But he doesn't really... see people the way he thinks he does. He noticed me enough to make a comment about how I looked a couple years ago in front of everyone on a tour. And then today with the whole fake-firing thing. He thought it was funny. I didn't really find it funny. It mostly just feels like being a prop sometimes.",,False,False,26,2026-06-24 21:27:45.559832+00,it mostly just feels like being a prop sometimes,55f2591c-6df6-41da-80b2-89c09698d433
The office 2,,3bdb54eb-f2a3-4aa9-8195-d9864f604454,completed,False,2026-06-24 21:24:14.296+00,2026-06-24 21:29:05.794+00,2026-06-24 21:24:05.216+00,4,2,ai_followup,When was the last time your manager said or did something that genuinely helped?,"Has there been a moment where it felt the opposite, like Michael actually saw you?",text,"Not really, no. Not today at least. I keep trying to think of one and I can't quite land on it. Which maybe says something.",,False,False,29,2026-06-24 21:28:14.869953+00,,55f2591c-6df6-41da-80b2-89c09698d433
The office 2,,3bdb54eb-f2a3-4aa9-8195-d9864f604454,completed,False,2026-06-24 21:24:14.296+00,2026-06-24 21:29:05.794+00,2026-06-24 21:24:05.216+00,4,3,ai_followup,When was the last time your manager said or did something that genuinely helped?,Anything else about today you want to put somewhere before we close?,text,"I guess just... there's a lot of uncertainty right now about the branch, whether we're even staying open. And that's kind of sitting in the background of everything. I don't really know what to do with it. But yeah. Today was a lot.",,False,False,22,2026-06-24 21:28:37.557424+00,"there's a lot of uncertainty right now about the branch, whether we're even staying open. And that's kind of sitting in the background of everything.",55f2591c-6df6-41da-80b2-89c09698d433
The office 2,,e9bfcdb3-6ff6-43ed-9701-ddd0e83fb919,completed,False,2026-06-24 21:28:39.149+00,2026-06-24 21:32:12.46+00,2026-06-24 21:28:21.84+00,0,0,base,How's work been this week?,How's work been this week?,mood,Okay,,False,False,26,2026-06-24 21:28:39.549157+00,,81155a0d-50ee-4ba1-a10a-014e7f0d618c
The office 2,,e9bfcdb3-6ff6-43ed-9701-ddd0e83fb919,completed,False,2026-06-24 21:28:39.149+00,2026-06-24 21:32:12.46+00,2026-06-24 21:28:21.84+00,1,0,base,Got it. Is there anything that could make things better right now?,Got it. Is there anything that could make things better right now?,text,Stronger enforcement of company policy regarding the destruction and sabotage of office equipment. My stapler was encased in Jell-O this morning — for the third time. This is not a joke. It is destruction of property and it should be treated as such. Management needs to act.,,False,False,12,2026-06-24 21:28:51.737158+00,My stapler was encased in Jell-O this morning — for the third time. This is not a joke.,81155a0d-50ee-4ba1-a10a-014e7f0d618c
The office 2,,e9bfcdb3-6ff6-43ed-9701-ddd0e83fb919,completed,False,2026-06-24 21:28:39.149+00,2026-06-24 21:32:12.46+00,2026-06-24 21:28:21.84+00,1,1,ai_followup,Got it. Is there anything that could make things better right now?,How are you holding up with all of this?,text,"Exactly. Three times is not an accident, it is a campaign. I have documented each incident. Jim Halpert is a clear and present danger to office morale and company assets. In my volunteer work as a sheriff's deputy, this level of repeat behavior would not be tolerated. But here, Michael laughed it off. That is a management failure.",,False,False,18,2026-06-24 21:29:09.861176+00,"Three times is not an accident, it is a campaign. I have documented each incident.",81155a0d-50ee-4ba1-a10a-014e7f0d618c
The office 2,,e9bfcdb3-6ff6-43ed-9701-ddd0e83fb919,completed,False,2026-06-24 21:28:39.149+00,2026-06-24 21:32:12.46+00,2026-06-24 21:28:21.84+00,1,2,ai_followup,Got it. Is there anything that could make things better right now?,What would a proper response from management actually look like to you?,text,"Michael treated it like entertainment. He laughed. He did not reprimand Jim. He did not fill out a disciplinary form. I requested formal action and was ignored. I am loyal to Michael and to this company, but a leader must lead. That is a simple fact.",,False,False,15,2026-06-24 21:29:25.12546+00,,81155a0d-50ee-4ba1-a10a-014e7f0d618c
The office 2,,e9bfcdb3-6ff6-43ed-9701-ddd0e83fb919,completed,False,2026-06-24 21:28:39.149+00,2026-06-24 21:32:12.46+00,2026-06-24 21:28:21.84+00,1,3,ai_followup,Got it. Is there anything that could make things better right now?,Does that gap come up in other parts of your work too?,text,"They are not in conflict. I am loyal to Michael AND I hold him to a high standard. That is what true loyalty means. Blind loyalty is weakness. I support him because he is my regional manager, but I will not pretend a management failure did not occur. He is better than this, and I expect more from him.",,False,False,19,2026-06-24 21:29:44.438203+00,"Blind loyalty is weakness. I support him because he is my regional manager, but I will not pretend a management failure did not occur.",81155a0d-50ee-4ba1-a10a-014e7f0d618c
The office 2,,e9bfcdb3-6ff6-43ed-9701-ddd0e83fb919,completed,False,2026-06-24 21:28:39.149+00,2026-06-24 21:32:12.46+00,2026-06-24 21:28:21.84+00,3,1,ai_followup,Walk me through a piece of work from the last month that felt really yours.,"Beyond the stapler situation, what part of your job actually energizes you?",text,"Correct. I was the top salesman here before I was promoted to Assistant to the Regional Manager. I don't let standards slip just because the environment is casual. I am also a volunteer sheriff's deputy on weekends — in that role, you cannot cut corners. I bring that same discipline here, even if others do not.",,False,False,21,2026-06-24 21:30:06.200062+00,I don't let standards slip just because the environment is casual.,81155a0d-50ee-4ba1-a10a-014e7f0d618c
The office 2,,e9bfcdb3-6ff6-43ed-9701-ddd0e83fb919,completed,False,2026-06-24 21:28:39.149+00,2026-06-24 21:32:12.46+00,2026-06-24 21:28:21.84+00,3,2,ai_followup,Walk me through a piece of work from the last month that felt really yours.,When did that standard actually make a difference at work?,text,,,True,False,17,2026-06-24 21:30:23.428933+00,,81155a0d-50ee-4ba1-a10a-014e7f0d618c
The office 2,,e9bfcdb3-6ff6-43ed-9701-ddd0e83fb919,completed,False,2026-06-24 21:28:39.149+00,2026-06-24 21:32:12.46+00,2026-06-24 21:28:21.84+00,3,3,ai_followup,Walk me through a piece of work from the last month that felt really yours.,"No worries, anything else on your mind today?",text,"The potential downsizing. Corporate has not decided which branch closes — Stamford or ours. I personally support downsizing. I have recommended it since I was hired. Dead weight should be cut. I am not worried about my own position — I am essential. But people here need clear answers, not Michael avoiding the question.",,False,False,15,2026-06-24 21:30:38.692167+00,,81155a0d-50ee-4ba1-a10a-014e7f0d618c
The office 2,,e9bfcdb3-6ff6-43ed-9701-ddd0e83fb919,completed,False,2026-06-24 21:28:39.149+00,2026-06-24 21:32:12.46+00,2026-06-24 21:28:21.84+00,4,1,ai_followup,When was the last time your manager said or did something that genuinely helped?,Stepping back: does Michael generally have your back when things get difficult?,text,"Yes. Michael has my back. He promoted me to Assistant to the Regional Manager, which is a position of tremendous trust. Today was not his finest moment, but I do not judge a man on one day. Michael Scott is my regional manager and I stand behind him. That is my final answer on this topic.",,False,False,25,2026-06-24 21:31:04.572766+00,,81155a0d-50ee-4ba1-a10a-014e7f0d618c
The office 2,,e9bfcdb3-6ff6-43ed-9701-ddd0e83fb919,completed,False,2026-06-24 21:28:39.149+00,2026-06-24 21:32:12.46+00,2026-06-24 21:28:21.84+00,4,2,ai_followup,When was the last time your manager said or did something that genuinely helped?,"On the downsizing, what would 'clear answers' from him look like?",text,,,True,False,16,2026-06-24 21:31:20.82209+00,,81155a0d-50ee-4ba1-a10a-014e7f0d618c
The office 2,,e9bfcdb3-6ff6-43ed-9701-ddd0e83fb919,completed,False,2026-06-24 21:28:39.149+00,2026-06-24 21:32:12.46+00,2026-06-24 21:28:21.84+00,4,3,ai_followup,When was the last time your manager said or did something that genuinely helped?,Anything else you want to add before we wrap up?,text,Just this: I am committed to Dunder Mifflin and to this branch. I will continue to perform at the highest level regardless of what happens with Stamford. And I am filing a formal incident report about the stapler. In writing. Today.,,False,False,26,2026-06-24 21:31:47.421425+00,I am filing a formal incident report about the stapler. In writing. Today.,81155a0d-50ee-4ba1-a10a-014e7f0d618c
The office 2,,faa763bd-f0f9-4832-b1fd-c5f71b504342,completed,False,2026-06-24 21:29:48.145+00,2026-06-24 21:35:49.192+00,2026-06-24 21:29:38.262+00,0,0,base,How's work been this week?,How's work been this week?,mood,Not great,,False,False,18,2026-06-24 21:29:48.282779+00,,d15f12a9-af93-4e02-83a0-01ac4c8bf12e
The office 2,,faa763bd-f0f9-4832-b1fd-c5f71b504342,completed,False,2026-06-24 21:29:48.145+00,2026-06-24 21:35:49.192+00,2026-06-24 21:29:38.262+00,1,0,base,Got it. Is there anything that could make things better right now?,Got it. Is there anything that could make things better right now?,text,Honestly? It's my first day and I already heard this branch might get shut down. That's... a lot to process before lunch. I don't really know enough yet to say more than that.,,False,False,11,2026-06-24 21:29:59.669948+00,It's my first day and I already heard this branch might get shut down. That's... a lot to process before lunch.,d15f12a9-af93-4e02-83a0-01ac4c8bf12e
The office 2,,faa763bd-f0f9-4832-b1fd-c5f71b504342,completed,False,2026-06-24 21:29:48.145+00,2026-06-24 21:35:49.192+00,2026-06-24 21:29:38.262+00,1,1,ai_followup,Got it. Is there anything that could make things better right now?,"What's your read on things so far, gut feeling?",text,"Gut feeling? I don't know. The manager seems... enthusiastic. Everyone else seems used to it. I'm just trying to get my bearings, so I'm reserving judgment. Ask me again in a week if I'm still here.",,False,False,56,2026-06-24 21:30:55.776381+00,,d15f12a9-af93-4e02-83a0-01ac4c8bf12e
The office 2,,faa763bd-f0f9-4832-b1fd-c5f71b504342,completed,False,2026-06-24 21:29:48.145+00,2026-06-24 21:35:49.192+00,2026-06-24 21:29:38.262+00,1,2,ai_followup,Got it. Is there anything that could make things better right now?,"Makes sense, so what's one thing you're hoping to figure out today?",text,Whether this place is actually going to be open next month. That seems like the most pressing thing to figure out right now.,,False,False,53,2026-06-24 21:31:49.676255+00,,d15f12a9-af93-4e02-83a0-01ac4c8bf12e
The office 2,,faa763bd-f0f9-4832-b1fd-c5f71b504342,completed,False,2026-06-24 21:29:48.145+00,2026-06-24 21:35:49.192+00,2026-06-24 21:29:38.262+00,1,3,ai_followup,Got it. Is there anything that could make things better right now?,Anything that's given you a reason to stay curious today?,text,"I mean, the people are... interesting. Someone put their coworker's stapler in Jell-O and the manager thought it was hilarious. You don't see that every day. So yeah, curious is one word for it.",,False,False,56,2026-06-24 21:32:45.616462+00,,d15f12a9-af93-4e02-83a0-01ac4c8bf12e
The office 2,,faa763bd-f0f9-4832-b1fd-c5f71b504342,completed,False,2026-06-24 21:29:48.145+00,2026-06-24 21:35:49.192+00,2026-06-24 21:29:38.262+00,3,1,ai_followup,Walk me through a piece of work from the last month that felt really yours.,"Beyond figuring out the branch situation, what were you hoping the actual work here would feel like?",text,"Honestly I just came through a temp agency, so I wasn't expecting much. Maybe something straightforward — answer phones, file things, nothing dramatic. It's already been more eventful than I anticipated.",,False,False,45,2026-06-24 21:33:31.128752+00,It's already been more eventful than I anticipated.,d15f12a9-af93-4e02-83a0-01ac4c8bf12e
